レコード番号,運送便コード,手配,納品先名,出荷日,納品日,商品コ－ド,数量,才数計
79722,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2026/5/17,2025/9/19,CE-972W85VZE6,5,125
77323,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-21CN-G2E22,1,11.6
77322,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-21CN-G21K2,1,11.6
77321,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-18CN-G2Q62,2,20
77320,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-18CN-G20Y2,3,30
77319,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-14CN-G21K2,1,7.8
77318,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-12CN-G2T72,4,26.8
77317,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-12CN-G21K2,1,6.7
77316,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKS-06CN-G2E22,4,13.6
77315,XX,オリジン㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,2025/9/3,2025/9/6,NTKH-WMC18N-G2Q62,2,25.2
