レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
77328,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237911_1,Z1000Z,0,0,1,0,2026/1/14,2026/1/14,2026/1/15,,1S
77329,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244781_2,TJ2000PT,0,0,1,0,2026/1/29,2026/1/29,2026/1/30,,1S
77330,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244781_1,TJ2000PT,0,0,1,0,2026/1/29,2026/1/29,2026/1/30,,1S
77331,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251361_1,NND-N3NH-W75LJLJ1,27.2,0,1,27.2,2026/1/22,2026/1/22,2026/1/23,,1S
77332,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251152_5,CE-55W09H1N05,14.1,0,1,14.1,2026/1/22,2026/1/22,2026/1/23,,1S
77333,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251152_1,CE-51W09H1N05,3.7,0,1,3.7,2026/1/22,2026/1/22,2026/1/23,,1S
77334,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250191_6,CE-K15W25GWM3,13.2,0,1,13.2,2026/1/22,2026/1/22,2026/1/23,,1S
77335,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V250191_2,CE-K15W25GWM3,13.2,0,1,13.2,2026/1/22,2026/1/22,2026/1/23,,1S
77336,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246991_7,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77337,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246991_6,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77338,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246991_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77339,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246981_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/22,2026/1/22,2026/1/23,,1S
77340,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246371_5,NT-S12W05N,4.7,0,1,4.7,2026/1/22,2026/1/22,2026/1/23,,1S
77341,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246361_4,NT-16W05N,1.6,0,1,1.6,2026/1/22,2026/1/22,2026/1/23,,1S
77342,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247101_2,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/20,2026/1/20,2026/1/21,,1S
77343,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246981_7,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/20,2026/1/20,2026/1/21,,1S
77344,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246961_5,XYR-BWSS15K9C2F,6.5,0,1,6.5,2026/1/20,2026/1/20,2026/1/21,,1S
77345,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246251_2,XY-BWSCIXXN1C2,42.1,0,1,42.1,2026/1/20,2026/1/20,2026/1/21,,1S
77346,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246311_5,CE-550W25CLJB6N,15.7,0,1,15.7,2026/1/22,2026/1/22,2026/1/23,,1S
77347,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240891_5,XYS-BWSSS18K9C2F,8.3,0,1,8.3,2026/1/22,2026/1/22,2026/1/23,,1S
77348,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240891_3,XYS-BWSSS18K9C2F,8.3,0,1,8.3,2026/1/22,2026/1/22,2026/1/23,,1S
77349,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V240881_3,XYR-BWSS18K9C2F,7.8,0,1,7.8,2026/1/22,2026/1/22,2026/1/23,,1S
77350,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237851_3,MG-N65SGW09NN,28.9,0,1,28.9,2026/1/22,2026/1/22,2026/1/23,,1S
77351,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237841_6,MG-N65SGW09NN,28.9,0,1,28.9,2026/1/22,2026/1/22,2026/1/23,,1S
77352,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V237491_3,W40T-KW3212G-W091,7.4,0,1,7.4,2026/1/22,2026/1/22,2026/1/23,,1S
77353,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244261_6,XYS-BWSCS18K9L6F,7.4,0,1,7.4,2026/1/20,2026/1/20,2026/1/21,,1S
77354,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V244251_2,XYR-BWSS15VYOUF,6.5,0,1,6.5,2026/1/20,2026/1/20,2026/1/21,,1S
77355,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243951_8,XYR-BWSS15K9L6F,6.5,0,1,6.5,2026/1/20,2026/1/20,2026/1/21,,1S
77356,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V242832_7,MVR-7M-W03LJB61,12.4,0,1,12.4,2026/1/20,2026/1/20,2026/1/21,,1S
77357,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241541_2,NTKGH-R2112-MT12,32.2,0,1,32.2,2026/1/20,2026/1/20,2026/1/21,,1S
77358,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241521_5,XYS-BWSSS15VYOUF,7,0,1,7,2026/1/20,2026/1/20,2026/1/21,,1S
77359,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241461_3,XYR-BWSS12VYOUF,5.2,0,1,5.2,2026/1/20,2026/1/20,2026/1/21,,1S
77360,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V241412_5,XYR-BWSS18K9L6F,7.8,0,1,7.8,2026/1/20,2026/1/20,2026/1/21,,1S
77361,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V246921_2,XYB-BWSSS15MN1F,9.2,0,1,9.2,2026/1/6,2026/1/6,2026/1/7,,1S
77362,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243971_3,MGT-220CD1W05N3,3.1,0,1,3.1,2026/1/6,2026/1/6,2026/1/7,,1S
77363,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V243881_6,NANS-B1C-G2E21,5.6,0,1,5.6,2026/1/6,2026/1/6,2026/1/7,,1S
77364,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230181_6,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77365,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230181_3,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77366,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V230141_9,NAN-S1C-G2E21,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77367,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228721_9,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/20,2026/1/20,2026/1/21,,1S
77368,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V209051_2,NANS-L1C-G2391,7.4,0,1,7.4,2026/1/20,2026/1/20,2026/1/21,,1S
77369,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V207082_8,NTKPP-18120-MT12,4.4,0,1,4.4,2026/1/20,2026/1/20,2026/1/21,,1S
77370,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V259271_8,CE-K15W23GWE5,13.2,0,1,13.2,2026/2/3,2026/2/3,2026/2/4,,1S
77371,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V256362_3,XYB-BWSCS12MN1F,6.9,0,1,6.9,2026/2/3,2026/2/3,2026/2/4,,1S
77372,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255792_3,XYB-BWSCS12MN1F,6.9,0,1,6.9,2026/2/3,2026/2/3,2026/2/4,,1S
77373,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255681_6,XUMW-S2-BK1,0.8,0,2,1.6,2026/2/3,2026/2/3,2026/2/4,,1S
